Feature,Importance
GSmagmom_max,5.8710358859059044e-05
NdUnfilled_range,5.814546924159622e-05
atomic radius_min,5.652978099719329e-05
NpUnfilled_max,5.597343155890559e-05
GSmagmom_range,4.510967559008572e-05
heat of vaporization_min,4.231853854059155e-05
thermal conductivity_max,4.0677373986057045e-05
GSvolume_pa_min,3.989946468919034e-05
Ionization Energy_max,3.940849760247465e-05
heat of fusion_min,3.6970426565595096e-05
Electron affinity_max,3.2228446928774416e-05
boiling point_min,3.0121946228540104e-05
GSbandgap_max,2.8987810581558193e-05
specific heat_max,2.807601645729931e-05
thermal conductivity_min,2.631884481103911e-05
NValence_min,2.0116930002913115e-05
GSbandgap_range,1.9626175530945368e-05
Row_range,1.838060316022878e-05
NUnfilled_min,1.8104120344369613e-05
NdValence_max,1.5374146835700827e-05
C8,1.5167591782341169e-05
electronegativity_max,1.4851254727274197e-05
space group number_min,1.4646505928345413e-05
Column_min,1.2555033920001029e-05
NpUnfilled_min,1.2388263236629943e-05
NpUnfilled_mode,1.1012977261960665e-05
NdUnfilled_mode,1.060616269612578e-05
Column_max,9.813991326554642e-06
NsValence_mode,9.741225079664044e-06
atomic weight_min,9.621537345104071e-06
Ionic radius_min,9.534584881098122e-06
Row_max,9.358293483754816e-06
NsUnfilled_mode,8.3869460062795e-06
NpValence_mode,6.116822211321138e-06
NpValence_max,5.3909126213277665e-06
NpValence_range,5.249047547409879e-06
Number_min,5.124395229555344e-06
NsValence_min,4.682992383596646e-06
NdValence_min,4.536718670239739e-06
NsUnfilled_max,4.33911431846426e-06
NsValence_max,3.933371367782761e-06
NdUnfilled_min,3.3004991478241838e-06
GSbandgap_min,2.7577928825208117e-06
NsValence_range,2.683360792512e-06
NsUnfilled_range,2.2290621666946515e-06
Row_min,1.8063125777347244e-06
GSbandgap_mode,1.285450603941369e-06
NfValence_mode,9.346152420255884e-07
NfUnfilled_mode,3.768298824716632e-07
GSmagmom_mode,3.709869697733663e-07
NsUnfilled_min,1.3629444183257563e-07
C9,6.807653739337088e-08
NfValence_min,6.203714073781041e-08
NpValence_min,4.174819299432833e-08
GSmagmom_min,3.7035584423452186e-08
NfUnfilled_min,3.197304844234611e-09
