symbol,atomic radius,Ionic radius,crystal radius,atomic weight,boiling point,density,specific heat,heat of fusion,heat of vaporization,thermal conductivity,cohensive energy,melting point,electronegativity,GSvolume_pa,space group number,Ionization Energy,Electron affinity,Number,MendeleevNumber,Column,Row,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSbandgap,GSmagmom
Ge,211,1.25,0.53,72.63,3106,5.323,321.4,31.8,334,60,3.85,1211.4,2.01,23.005,225,7.9,118.935,32,79,14,4,2,2,10,0,14,0,4,0,0,4,0.383,0
As,185,1.15,0.72,74.92159,887,5.776,328,27.7,32.4,50,2.96,1090,2.18,22.175,166,9.815,77.65,33,84,15,4,2,3,10,0,15,0,3,0,0,3,0,0
Se,190,1.15,0.56,78.97,958,4.809,321.2,5.4,26,0.52,2.46,493.65,2.55,25.92,14,9.752,194.958,34,89,16,4,2,4,10,0,16,0,2,0,0,2,0.799,0
Br,183,1.15,1.82,79.9,331.95,3.11,947.3,5.8,14.8,0.12,1.22,265.95,2.96,29.48,64,11.814,324.536,35,95,17,4,2,5,10,0,17,0,1,0,0,1,1.457,0
Kr,202,0.88,,83.8,119.93,0.003733,248.05,1.64,9.02,0.00943,0.116,115.79,3,36.06,225,14,-96,36,101,18,4,2,6,10,0,18,0,0,0,0,0,7.535,0
Rb,303,2.35,1.66,85.468,961,1.53,364,2.19,72,58,0.852,312.46,0.82,90.7225,229,4.177,46.884,37,4,1,5,1,0,0,0,1,1,0,0,0,1,0,0
Sr,249,2,1.32,87.62,1655,2.64,300,8,137,35,1.72,1050,0.95,54.23,225,5.695,5.023,38,8,2,5,2,0,0,0,2,0,0,0,0,0,0,0
Y,219,1.85,1.04,88.90584,3618,4.47,298,11.4,380,17,4.37,1795,1.22,32.365,194,6.217,30.035,39,12,3,5,2,0,1,0,3,0,0,9,0,9,0,0
Zr,186,1.55,0.86,91.22,4682,6.52,278,21,580,23,6.25,2128,1.33,23.195,194,6.634,41.806,40,44,4,5,2,0,2,0,4,0,0,8,0,8,0,0
Nb,207,1.45,0.78,92.90637,5017,8.57,265,26.8,690,54,7.57,2750,1.6,18.18,229,6.759,88.516,41,47,5,5,1,0,4,0,5,1,0,6,0,7,0,0
Mo,209,1.45,0.79,95.95,4912,10.2,251,36,600,139,6.82,2896,2.16,15.69,229,7.092,72.097,42,50,6,5,1,0,5,0,6,1,0,5,0,6,0,0
Tc,209,1.35,0.79,96.90636,4538,11,63,23,550,51,6.85,2430,1.9,14.285,194,7.28,53,43,53,7,5,2,0,5,0,7,0,0,5,0,5,0,0
Ru,207,1.3,0.82,101.1,4423,12.1,238,25.7,580,120,6.74,2607,2.2,13.51,194,7.361,100.95,44,56,8,5,1,0,7,0,8,1,0,3,0,4,0,0
